PWS_ID,PLANT_LAT_DECIMAL,PLANT_LONG_DECIMAL
1030050,30.2,-85.6
1030141,30.15,-85.53333333333333
1030148,30.183333333333334,-85.61666666666666
1030435,30.233333333333334,-85.63333333333334
1030467,29.933333333333334,-85.4
1030516,30.2,-85.66666666666667
1030517,30.15,-85.66666666666667
1030520,30.116666666666667,-85.6
1030568,30.2,-85.68333333333334
1030716,30.35,-85.43333333333334
1030774,30.266666666666666,-85.68333333333334
1034054,30.283333333333335,-85.61666666666666
1034057,30.183333333333334,-85.68333333333334
1034060,30.233333333333334,-85.61666666666666
1034062,30.35,-85.43333333333334
1034063,30.3,-85.53333333333333
1034069,30.433333333333334,-85.41666666666667
1034074,30.4,-85.41666666666667
1034096,30.283333333333335,-85.53333333333333
1034106,30.4,-85.68333333333334
1034114,30.516666666666666,-85.38333333333334
1034133,30.466666666666665,-85.41666666666667
1070008,30.433333333333334,-85.01666666666667
1070014,30.566666666666666,-85.11666666666666
1070116,30.45,-85.16666666666667
1070685,30.45,-85.03333333333333
1074013,30.433333333333334,-85.18333333333334
1074015,30.516666666666666,-85.18333333333334
1170126,30.983333333333334,-87.31666666666666
1170168,30.633333333333333,-87.31666666666666
1170259,30.6,-87.35
1170302,30.583333333333332,-87.28333333333333
1170475,30.716666666666665,-87.33333333333333
1170477,30.583333333333332,-87.23333333333333
1170525,30.5,-87.31666666666666
1170527,30.383333333333333,-87.26666666666667
1170552,30.933333333333334,-87.33333333333333
1170613,30.983333333333334,-87.25
1170703,30.533333333333335,-87.21666666666667
1170718,30.883333333333333,-87.46666666666667
1190013,29.933333333333334,-84.38333333333334
1190109,29.916666666666668,-84.43333333333334
1190150,29.716666666666665,-85.01666666666667
1190414,29.883333333333333,-84.56666666666666
1190789,29.733333333333334,-84.86666666666666
1194041,29.916666666666668,-84.5
1200134,30.683333333333334,-84.83333333333333
1200275,30.7,-84.8
1200334,30.616666666666667,-84.4
1200459,30.55,-84.51666666666667
1200551,30.583333333333332,-84.56666666666666
1200687,30.566666666666666,-84.73333333333333
1200688,30.583333333333332,-84.65
1200797,30.466666666666665,-84.61666666666666
1200885,30.666666666666668,-84.45
1204025,30.616666666666667,-84.88333333333334
1204029,30.6,-84.86666666666666
1204053,30.6,-84.8
1204057,30.583333333333332,-84.63333333333334
1204059,30.65,-84.35
1204063,30.65,-84.4
1204064,30.6,-84.41666666666667
1204065,30.416666666666668,-84.63333333333334
1204067,30.583333333333332,-84.66666666666667
1204068,30.6,-84.41666666666667
1204069,30.6,-84.41666666666667
1230191,30.133333333333333,-85.18333333333334
1230545,29.866666666666667,-85.21666666666667
1230734,30.1,-85.18333333333334
1230848,29.683333333333334,-85.26666666666667
1230909,29.683333333333334,-85.21666666666667
1234012,30.0,-85.13333333333334
1234013,30.166666666666668,-85.25
1234021,30.15,-85.2
1234024,30.0,-85.15
1300083,30.783333333333335,-85.66666666666667
1300214,30.85,-85.75
1300247,30.983333333333334,-85.63333333333334
1300498,30.983333333333334,-85.61666666666666
1302003,30.933333333333334,-85.81666666666666
1302005,30.9,-86.0
1304033,30.766666666666666,-85.85
1304034,30.716666666666665,-85.93333333333334
1304036,30.766666666666666,-85.95
1304037,30.766666666666666,-85.93333333333334
1320011,30.683333333333334,-85.38333333333334
1320025,30.7,-84.88333333333334
1320111,30.933333333333334,-85.38333333333334
1320143,30.783333333333335,-85.36666666666666
1320145,30.95,-85.5
1320263,30.766666666666666,-85.28333333333333
1320311,30.866666666666667,-85.15
1320440,30.95,-85.15
1320444,30.766666666666666,-85.28333333333333
1320449,30.783333333333335,-85.25
1320675,30.733333333333334,-84.91666666666667
1320686,30.7,-85.01666666666667
1320689,30.7,-84.91666666666667
1320879,30.75,-85.18333333333334
1324027,30.7,-85.08333333333333
1324031,30.883333333333333,-85.4
1324032,30.75,-85.31666666666666
1324046,30.733333333333334,-85.21666666666667
1324064,30.783333333333335,-85.15
1324074,30.966666666666665,-85.16666666666667
1324077,30.816666666666666,-85.23333333333333
1324080,30.766666666666666,-85.15
1324082,30.733333333333334,-84.91666666666667
1324087,30.916666666666668,-85.11666666666666
1324092,30.716666666666665,-85.06666666666666
1324094,30.866666666666667,-85.21666666666667
1324098,30.716666666666665,-85.18333333333334
1324100,30.65,-85.15
1324101,30.916666666666668,-85.41666666666667
1324104,30.6,-85.38333333333334
1324106,30.633333333333333,-85.38333333333334
1324199,30.75,-85.35
1330070,30.483333333333334,-84.01666666666667
1330374,30.566666666666666,-83.86666666666666
1330478,30.533333333333335,-83.86666666666666
1330654,30.466666666666665,-83.9
1330752,30.466666666666665,-83.88333333333334
1370023,30.383333333333333,-84.26666666666667
1370077,30.383333333333333,-84.61666666666666
1370096,30.45,-84.33333333333333
1370282,30.416666666666668,-84.53333333333333
1370288,30.383333333333333,-84.26666666666667
1370353,30.483333333333334,-84.11666666666666
1370393,30.566666666666666,-84.21666666666667
1370403,30.383333333333333,-84.61666666666666
1370434,30.35,-84.36666666666666
1370461,30.45,-84.18333333333334
1370463,30.65,-84.26666666666667
1370598,30.45,-84.16666666666667
1370607,30.4,-84.4
1370616,30.45,-84.36666666666666
1370617,30.316666666666666,-84.33333333333333
1370640,30.483333333333334,-84.21666666666667
1370655,30.45,-84.26666666666667
1370669,30.4,-84.13333333333334
1370745,30.433333333333334,-84.38333333333334
1370791,30.4,-84.31666666666666
1370888,30.5,-84.35
1370898,30.466666666666665,-84.21666666666667
1370913,30.433333333333334,-84.53333333333333
1374008,30.466666666666665,-84.18333333333334
1374041,30.433333333333334,-84.51666666666667
