,PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
35,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202312,0.0,0.0
36,1030371,NWD,"WESTROCK CP, LLC - PANAMA CITY MILL",1346400.0,1,INACTIVE,202301,126500.0,118118.0
37,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202301,2052000.0,1524323.0
38,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202302,2003000.0,1546679.0
39,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202303,2140000.0,1806645.0
40,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202304,2443000.0,1940033.0
41,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202305,2495000.0,2115677.0
42,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202306,2436000.0,2099367.0
43,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202307,2932000.0,2304742.0
44,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202308,2963000.0,2606935.0
45,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202309,3088000.0,2309467.0
46,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202310,2592000.0,2165903.0
47,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202311,2595000.0,1918867.0
48,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,1,ACTIVE,202312,2772000.0,1605742.0
49,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202301,610000.0,390300.0
50,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202302,147000.0,11000.0
51,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202303,1877000.0,235677.0
52,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202304,415000.0,182000.0
53,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202305,501000.0,252129.0
54,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202306,488000.0,232000.0
55,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202307,909000.0,431613.0
56,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202308,1634000.0,872548.0
57,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202309,1868000.0,1170000.0
58,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202310,1883000.0,908387.0
59,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202311,648000.0,138000.0
60,1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000.0,2,ACTIVE,202312,996000.0,675480.0
61,1030467,NWD,"MEXICO BEACH, CITY OF",1010000.0,1,ACTIVE,202301,361000.0,228633.0
62,1030467,NWD,"MEXICO BEACH, CITY OF",1010000.0,1,ACTIVE,202302,279000.0,221642.0
63,1030467,NWD,"MEXICO BEACH, CITY OF",1010000.0,1,ACTIVE,202303,457000.0,361645.0
64,1030467,NWD,"MEXICO BEACH, CITY OF",1010000.0,1,ACTIVE,202304,571000.0,434370.0
